Episode 413, Agent: 0, Score: 0, Epsilon: 0.5380
Episode 414, Agent: 0, Score: 0, Epsilon: 0.5372
Episode 415, Agent: 0, Score: 0, Epsilon: 0.5364
Episode 416, Agent: 0, Score: 1, Epsilon: 0.5355
Episode 417, Agent: 0, Score: 0, Epsilon: 0.5347
Episode 418, Agent: 0, Score: 0, Epsilon: 0.5339
Episode 419, Agent: 0, Score: 0, Epsilon: 0.5331
Episode 420, Agent: 0, Score: 0, Epsilon: 0.5323
Episode 421, Agent: 0, Score: 0, Epsilon: 0.5315
Episode 422, Agent: 0, Score: 0, Epsilon: 0.5307
Episode 423, Agent: 0, Score: 0, Epsilon: 0.5299
Episode 424, Agent: 0, Score: 0, Epsilon: 0.5292
Episode 425, Agent: 0, Score: 0, Epsilon: 0.5284
Episode 426, Agent: 0, Score: 0, Epsilon: 0.5276
Episode 427, Agent: 0, Score: 0, Epsilon: 0.5268
Episode 428, Agent: 0, Score: 0, Epsilon: 0.5260
Episode 429, Agent: 0, Score: 0, Epsilon: 0.5252
Episode 430, Agent: 0, Score: 0, Epsilon: 0.5244
Episode 431, Agent: 0, Score: 0, Epsilon: 0.5236
Episode 432, Agent: 0, Score: 0, Epsilon: 0.5228
Episode 433, Agent: 0, Score: 1, Epsilon: 0.5221
Episode 434, Agent: 0, Score: 1, Epsilon: 0.5213
Episode 435, Agent: 0, Score: 0, Epsilon: 0.5205
Episode 436, Agent: 0, Score: 0, Epsilon: 0.5197
Episode 437, Agent: 0, Score: 1, Epsilon: 0.5189
Episode 438, Agent: 0, Score: 1, Epsilon: 0.5181
Episode 439, Agent: 0, Score: 0, Epsilon: 0.5174
Episode 440, Agent: 0, Score: 0, Epsilon: 0.5166
Episode 441, Agent: 0, Score: 0, Epsilon: 0.5158
Episode 442, Agent: 0, Score: 0, Epsilon: 0.5150
Episode 443, Agent: 0, Score: 0, Epsilon: 0.5143
Episode 444, Agent: 0, Score: 0, Epsilon: 0.5135
Episode 445, Agent: 0, Score: 0, Epsilon: 0.5127
Episode 446, Agent: 0, Score: 1, Epsilon: 0.5120
Episode 447, Agent: 0, Score: 0, Epsilon: 0.5112
Episode 448, Agent: 0, Score: 0, Epsilon: 0.5104
Episode 449, Agent: 0, Score: 0, Epsilon: 0.5097
Episode 450, Agent: 0, Score: 0, Epsilon: 0.5089
Episode 451, Agent: 0, Score: 0, Epsilon: 0.5081
